Questions,Answers,Cleaned_Questions,Cleaned_Answers
How can I find a mental health professional right for my child or myself?,Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research.,find mental health professional right child,feeling comfortable professional child working critical success treatment finding professional best fit need may require research
If I become involved in treatment what do I need to know?,"Beginning treatment is a big step for individuals and families and can be very overwhelming. It is important to continue involvement in the treatment process as much as possible. Some questions you will need to have answered include:
What is known about the cause of this particular illness?
Are there other diagnoses where these symptoms are common?
Do you normally include a physical or neurological examination?
Are there any additional tests or exams that you would recommend at this point?
Would you advise an independent opinion from another psychiatrist at this point?
What program of treatment is the most helpful with this diagnosis?
Will this program involve services by other specialists? If so, who will be responsible for coordinating these services?
What do you see as the familyâ€™s role in this program of treatment?
How much access will the family have to the individuals who are providing the treatment?
What medications are generally used with this diagnosis? What is the biological effect of this medication, and what do you expect it to accomplish? What are the risks associated with the medication? How soon will we be able to tell if the medication is effective, and how will we know?
How much experience do you have in treating individuals with this illness?
What can I do to help you in the treatment?",become involved treatment need know,beginning treatment big step individual family overwhelming important continue involvement treatment process much possible question need answered include known cause particular illness diagnosis symptom common normally include physical neurological examination additional test exam would recommend point would advise independent opinion another psychiatrist point program treatment helpful diagnosis program involve service specialist responsible coordinating service see family role program treatment much access family individual providing treatment medication generally used diagnosis biological effect medication expect accomplish risk associated medication soon able tell medication effective know much experience treating individual illness help treatment
Where else can I get help?,"Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. Search for mental health resources in your area.
Secondly, there are people and places throughout Nebraska that provide services to talk, to listen, and to help you on your journey to recovery. Thirdly, many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members, and friends. Some support groups are peer led while others may be led by a mental health professional.",else get help,go help depend nature problem andor symptom best fit often best place start talking someone trust concern family member friend clergy healthcare provider professional social support essential healing mental illness able ask referral recommendation trusted mental health practitioner search mental health resource area secondly people place throughout nebraska provide service talk listen help journey recovery thirdly many people find peer support helpful tool aid recovery variety organization offer support group consumer family member friend support group peer led others may led mental health professional
What should I know before starting a new medication?,"The best source of information regarding medications is the physician prescribing them. He or she should be able to answer questions such as:    1. What is the medication supposed to do? 2. When should it begin to take effect, and how will I know when it is effective? 3. How is the medication taken and for how long? What food, drinks, other medicines, and activities should be avoided while taking this medication? 4. What are the side effects and what should be done if they occur? 5. What do I do if a dose is missed? 6. Is there any written information available about this medication? 7. Are there other medications that might be appropriate? 8. If so, why do you prefer the one you have chosen? 9. How do you monitor medications and what symptoms indicate that they should be raised, lowered, or changed? 10. All medications should be taken as directed. Most medications for mental illnesses do not work when taken irregularly, and extra doses can cause severe, sometimes dangerous side effects. Many psychiatric medications begin to have a beneficial effect only after they have been taken for several weeks.",know starting new medication,best source information regarding medication physician prescribing able answer question medication supposed begin take effect know effective medication taken long food drink medicine activity avoided taking medication side effect done occur dose missed written information available medication medication might appropriate prefer one chosen monitor medication symptom indicate raised lowered changed medication taken directed medication mental illness work taken irregularly extra dos cause severe sometimes dangerous side effect many psychiatric medication begin beneficial effect taken several week
"If I feel better after taking medication, does this mean I am ""cured"" and can stop taking it?","It is not uncommon for people to stop taking their medication when they feel their symptoms are under control. Others may choose to stop taking their medication because of its side effects, without realizing that most side effects can be effectively managed. While it may seem reasonable to stop taking the medication, the problem is that most often, the symptoms will return. If you or your child is taking medication, it is very important that you work together with your doctor before making decisions about any changes in your treatment.\nAnother problem with stopping medication, particularly for stopping it abruptly, is that you may develop withdrawal symptoms that can be very unpleasant. If you and your doctor feel a trial off your medicine is a good idea, it is necessary to slowly decrease the dosage of medications so that these symptoms don’t occur.\nIt is important that your doctor and pharmacist work together to make sure your medications are working safely and effectively. You should talk with them about how you are doing and if there are side effects that make you unwilling to continue treatment. They will work with you to develop strategies for minimizing these side effects, or will create a plan for switching to a different treatment that will be a better fit.",feel better taking medication mean cured stop taking,uncommon people stop taking medication feel symptom control others may choose stop taking medication side effect without realizing side effect effectively managed may seem reasonable stop taking medication problem often symptom return child taking medication important work together doctor making decision change treatmentnanother problem stopping medication particularly stopping abruptly may develop withdrawal symptom unpleasant doctor feel trial medicine good idea necessary slowly decrease dosage medication symptom dont occurnit important doctor pharmacist work together make sure medication working safely effectively talk side effect make unwilling continue treatment work develop strategy minimizing side effect create plan switching different treatment better fit
How can I get help paying for my medication?,"Some pharmaceutical companies offer prescription assistance programs to individuals and families with financial needs, while others offer special drug discount cards. These programs typically require a doctor’s consent and proof of your financial status. They may also require that you have either no health insurance or no prescription drug benefit through your health insurance.\nIn addition, there are prescription programs you might qualify for. Visit Healthfinder.gov to learn more.",get help paying medication,pharmaceutical company offer prescription assistance program individual family financial need others offer special drug discount card program typically require doctor consent proof financial status may also require either health insurance prescription drug benefit health insurancenin addition prescription program might qualify visit healthfindergov learn
Where can I go to find therapy,"Different kinds of therapy are more effective based on the nature of the mental health condition and/or symptoms and the person who has them (for example, children will benefit from a therapist who specializes in children’s mental health). However, there are several different types of treatment and therapy that can help.",go find therapy,different kind therapy effective based nature mental health condition andor symptom person example child benefit therapist specializes childrens mental health however several different type treatment therapy help
Where can I learn about types of mental health treatment?,"Mental health conditions are often treated with medication, therapy or a combination of the two. However, there are many different types of treatment available, including Complementary & Alternative Treatments, self-help plans, and peer support. Treatments are very personal and should be discussed by the person with the mental health conditions and his or her team.",learn type mental health treatment,mental health condition often treated medication therapy combination two however many different type treatment available including complementary alternative treatment selfhelp plan peer support treatment personal discussed person mental health condition team
What are the different types of mental health professionals?,There are many types of mental health professionals. Finding the right one for you may require some research.,different type mental health professional,many type mental health professional finding right one may require research
Where can I go to find a support group?,"Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional.",go find support group,many people find peer support helpful tool aid recovery variety organization offer support group consumer family member friend support group peerled others may led mental health professional
Where can I go to find inpatient care?,"If you or someone you know is in crisis, inpatient care can help. Inpatient care can help people stabilize on new medications, adjust to new symptoms, or get the help they need.",go find inpatient care,someone know crisis inpatient care help inpatient care help people stabilize new medication adjust new symptom get help need
Where can I go to find other local services?,"There are likely plenty of resources that can be used to help you find mental health treatment in your community. These resources can help you find the right therapist, and enable you to better understand viable treatment options and the treatment process.",go find local service,likely plenty resource used help find mental health treatment community resource help find right therapist enable better understand viable treatment option treatment process
Where can I learn more information about clinical trials?,"Sometimes, consumers of mental health services may consider participating in a research study when they have not experienced improvement despite having tried a variety of medications and treatments. Research studies (also known as clinical trials) may involve the use of new medications or new treatment approaches whose safety and effectiveness is being tested. While we support innovation in the field, consumers should be cautioned that there are risks associated with clinical trials – make sure you’re aware of them before you enroll.",learn information clinical trial,sometimes consumer mental health service may consider participating research study experienced improvement despite tried variety medication treatment research study also known clinical trial may involve use new medication new treatment approach whose safety effectiveness tested support innovation field consumer cautioned risk associated clinical trial make sure youre aware enroll
Where can I learn more information about creating a Psychiatric Advance Directive?,"Similar to a medical advance directive or a health care power of attorney, a psychiatric advance directive is a legal document completed in a time of wellness that provides instructions regarding treatment or services one wishes to have or not have during a mental health crisis, and may help influence his or her care.",learn information creating psychiatric advance directive,similar medical advance directive health care power attorney psychiatric advance directive legal document completed time wellness provides instruction regarding treatment service one wish mental health crisis may help influence care
What is mental health?,"We all have mental health which is made up of our beliefs, thoughts, feelings and behaviours.",mental health,mental health made belief thought feeling behaviour
What do I do if the support doesn’t help?,"It can be difficult to find the things that will help you, as different things help different people. It's important to be open to a range of approaches and to be committed to finding the right help and to continue to be hopeful, even when some things don't work out.",support doesnt help,difficult find thing help different thing help different people important open range approach committed finding right help continue hopeful even thing dont work
Can you prevent mental health problems?,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious.",prevent mental health problem,suffer mental health challenge developing wellbeing resilience seeking help early help prevent challenge becoming serious
Are there cures for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.",cure mental health problem,often realistic helpful find help issue face talking counselling medication friendship exercise good sleep nutrition meaningful occupation help
What causes mental health problems?,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events.",cause mental health problem,challenge problem mental health arise psychological biological social issue well life event
What do I do if I’m worried about my mental health?,"The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help.",im worried mental health,important thing talk someone trust might friend colleague family member gp addition talking someone may useful find information experiencing thing may help get perspective experiencing start getting help
How do I know if I’m unwell?,"If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help.",know im unwell,belief thought feeling behaviour significant impact ability function might considered normal ordinary way would important seek help
What should I do if I’m worried about a friend or relative?,This may depend on your relationship with them. Gently encouraging someone to seek appropriate support would be helpful to start with.,im worried friend relative,may depend relationship gently encouraging someone seek appropriate support would helpful start
How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but it's important to find out what works best for you.",deal someone telling,people may advise good evidence work best intention important find work best
Why do I need to keep informed?,"It may be tempting to try to block out the world altogether to avoid bad news, but it's important to keep yourself informed. We all have to step up during a pandemic because we all have a part to play in reducing the spread of the virus. It's important that you know what must be done and how you should do it. This is important for the health of your neighbours and your own mental health, and taking action can help counter difficult feelings like hopelessness and despair. 
 One study from people in China found that people who had reliable up-to-date information about the coronavirus and COVID-19 illness and accurate instructions on how they should act (such as instructions around hand-washing and wearing a mask) felt more resilient and felt better able to handle the virus. People who received good, accurate information reported lower levels of stress, anxiety, and depression. This research is available for free at www.mdpi.com/1660-4601/17/5/1729. 
 Of course, it's okay to set limits. Staying informed does not mean that you have to follow the news all day. Check in a few times a day, sticking to trusted sources and media outlets. While social media can be a great way to keep in touch with family and friends, social media can also amplify bad advice, vague or untrue stories, and other unhelpful information. Be sure to use good critical thinking skills.",need keep informed,may tempting try block world altogether avoid bad news important keep informed step pandemic part play reducing spread virus important know must done important health neighbour mental health taking action help counter difficult feeling like hopelessness despair one study people china found people reliable uptodate information coronavirus covid illness accurate instruction act instruction around handwashing wearing mask felt resilient felt better able handle virus people received good accurate information reported lower level stress anxiety depression research available free wwwmdpicom course okay set limit staying informed mean follow news day check time day sticking trusted source medium outlet social medium great way keep touch family friend social medium also amplify bad advice vague untrue story unhelpful information sure use good critical thinking skill
How can I tell if health information is good or bad?,"Anyone can post anything online. It's up to the readers to think critically about information to decide if it seems helpful, truthful, or safe. Here are key points to keep in mind as you determine which information is worth considering and which information doesn't pass the test. 
 It's so easy to spread information online, and we can't assume that the source we're reading or watching is the original source. Before you can evaluate anything, you need to know where the claims come from and determine if it's a reliable source. 
 Reliable sources on the coronavirus and COVID-19 illness include the World Health Organization (WHO), Government of Canada ministries and agencies like Health Canada and the Public Health Agency of Canada, the Government of BC ministries and agencies like the BC Ministry of Health, and the BC Centre for Disease Control (BCCDC). Scientists and researchers at universities and other institutions and health sciences professionals are also important sources of information. 
 Headlines and titles need to be simple and short, so they can sometimes be misleading on their own. They may also be purposefully shocking or controversial to entice you to click to read more. 
 Websites that belong to governments, government-funded agencies, well-known health providers, universities, or groups of medical professionals are generally the most reliable. Be careful of sites that don't list the author or don't tell you much about themselves. Double-check the author and the credentials of any 'experts' quoted or cited to see if they are actually experts in the topic being discussed. 
 Can you find other evidence from other sources to support the claims? Does the author list their sources? Are the sources legitimate, like research journals? 
 Unhelpful sources want you to feel a certain way: scared, angry, distrustful, vulnerable. Phrases like ""Skyrocketing rates of infection"" are sensational and they're meant to make people feel afraid. On the other hand, factual statements like ""We have 50 new cases in BC"" give you important information without playing into your emotions. Helpful news or information sources want you feel informed and empowered. 
 Who is paying for the site? What products or services are being advertised? What links or other sites do they promote? Are you learning something from a story or experience, or are you simply being directed to buy a product or service? 
 Social media can be a great way to keep in touch with family and friends, especially as we practice physical distancing or self-isolation. Social media can also be an important way to learn from health experts and connect to support services and mutual aid groups in your community. 
 Like any other source of information, it's important to use good critical thinking skills when you use social media. Studies find that searching for health information on social media generally has very mixed results. You'll see both very poor-quality sources next to good-quality sources, and it's up to you to decide which is which. In addition, social media posts tend to be short and rarely capture everything you need to consider. They are generally useful as a way to start learning or exploring different points of view rather than a place to gather all the information. 
 Visit www.mediasmarts.ca to learn more about digital and media literacy 
 Visit www.healthnewsreview.org to learn more about thinking critically around health claims (this resource is no longer updated daily, but all toolkits and lessons are still available) 
 This page is adapted from the Evaluating Mental Health and Substance Use Information info sheet.",tell health information good bad,anyone post anything online reader think critically information decide seems helpful truthful safe key point keep mind determine information worth considering information doesnt pas test easy spread information online cant assume source reading watching original source evaluate anything need know claim come determine reliable source reliable source coronavirus covid illness include world health organization government canada ministry agency like health canada public health agency canada government bc ministry agency like bc ministry health bc centre disease control bccdc scientist researcher university institution health science professional also important source information headline title need simple short sometimes misleading may also purposefully shocking controversial entice click read website belong government governmentfunded agency wellknown health provider university group medical professional generally reliable careful site dont list author dont tell much doublecheck author credential expert quoted cited see actually expert topic discussed find evidence source support claim author list source source legitimate like research journal unhelpful source want feel certain way scared angry distrustful vulnerable phrase like skyrocketing rate infection sensational theyre meant make people feel afraid hand factual statement like new case bc give important information without playing emotion helpful news information source want feel informed empowered paying site product service advertised link site promote learning something story experience simply directed buy product service social medium great way keep touch family friend especially practice physical distancing selfisolation social medium also important way learn health expert connect support service mutual aid group community like source information important use good critical thinking skill use social medium study find searching health information social medium generally mixed result youll see poorquality source next goodquality source decide addition social medium post tend short rarely capture everything need consider generally useful way start learning exploring different point view rather place gather information visit wwwmediasmartsca learn digital medium literacy visit wwwhealthnewsrevieworg learn thinking critically around health claim resource longer updated daily toolkits lesson still available page adapted evaluating mental health substance use information info sheet
Why do I need a plan?,"There are a lot of things you can't control. You can't control what happens next, how governments respond, or how your neighbours react to the pandemic. What you can do is make a plan and decide how you'll manage the things you do control, like your ability to stay safe, follow public health measures, stay connected with loved ones, and take care of your mental and physical health. 
 Events like a pandemic change a lot over time, and that uncertainty can add to fear and stress. The truth is that we don't know what will happen next—but that doesn't mean we're all helpless. You can do a lot. You can: 
 Map out a daily schedule, including times you can connect with loved ones online or by phone 
 Plan out daily tasks and goals 
 Give yourself a schedule to look up current information 
 Make sure you have 14 days of healthy food and household supplies at home 
 Keep medications on hand and talk to your doctor for advice if you're at increased risk 
 Educate yourself on public health measures and figure out how you'll follow those instructions 
 Figure out how you'll manage increased childcare demands, working for home, or other changes to your usual routine 
 Determine if you'll need financial supports like the Canada Emergency Response Benefit or BC Temporary Rent Supplement if your job is affected by COVID-19. If you anticipate a need, you can find application instructions and gather any documents or other pieces of information ahead of time 
 Figure out how you'll manage times when you feel overwhelmed or hopeless, like calming activities, the number for a local support or crisis line, a video chat with a loved one, or a way to connect with your mental health care provider 
 Look for local support organizations, neighbourhood groups, or mutual aid groups if you need extra help or support or would like to help others in your community 
 Some planning will be straightforward, but you may also encounter situations or times when it's harder to see a solution or good plan of action. This is a great time to practice problem-solving skills. Problem-solving is a method that helps you break down a complicated situation into manageable pieces, look for realistic and unbiased information, brainstorm possible solutions, and test the solutions that you think might work well. Problem-solving is a helpful skill no matter what else is going on in the world, and it's an empowering, methodical approach when you might otherwise feel overwhelmed or lost. 
 Check out the following resources for more information about problem-solving: 
 Wellness Module 4: Problem-Solving: www.heretohelp.bc.ca/wellness-module/wellness-module-4-problem-solving 
 Problem-solving worksheet from Anxiety Canada: www.anxietycanada.com/sites/default/files/ProblemSolving.pdf 
 Effective Problem-Solving in The Antidepressant Skills Workbook: psychhealthandsafety.org/asw",need plan,lot thing cant control cant control happens next government respond neighbour react pandemic make plan decide youll manage thing control like ability stay safe follow public health measure stay connected loved one take care mental physical health event like pandemic change lot time uncertainty add fear stress truth dont know happen nextbut doesnt mean helpless lot map daily schedule including time connect loved one online phone plan daily task goal give schedule look current information make sure day healthy food household supply home keep medication hand talk doctor advice youre increased risk educate public health measure figure youll follow instruction figure youll manage increased childcare demand working home change usual routine determine youll need financial support like canada emergency response benefit bc temporary rent supplement job affected covid anticipate need find application instruction gather document piece information ahead time figure youll manage time feel overwhelmed hopeless like calming activity number local support crisis line video chat loved one way connect mental health care provider look local support organization neighbourhood group mutual aid group need extra help support would like help others community planning straightforward may also encounter situation time harder see solution good plan action great time practice problemsolving skill problemsolving method help break complicated situation manageable piece look realistic unbiased information brainstorm possible solution test solution think might work well problemsolving helpful skill matter else going world empowering methodical approach might otherwise feel overwhelmed lost check following resource information problemsolving wellness module problemsolving wwwheretohelpbccawellnessmodulewellnessmoduleproblemsolving problemsolving worksheet anxiety canada wwwanxietycanadacomsitesdefaultfilesproblemsolvingpdf effective problemsolving antidepressant skill workbook psychhealthandsafetyorgasw
