Cleaned_Questions,Cleaned_Answers,Question_Word_Count,Answer_Word_Count,Contains_Mental_Health_Topic
take care physical health,taking care physical health also good mental health important ever keep healthy try eat well may easier reach unhealthier comfort food snack spend time home try keep balanced approach stock grocery dont ignore fresh fruit vegetableswe still everything need prepare food advised limit amount time spend public space like grocery store great time try new fruit vegetable keep home longer period time safer stay home selfisolation reach help many grocery store meal prep service offer safe nocontact delivery also ask family friend bring grocery look local covid support group social medium safest others leave food supply outside door avoid spreading virus exercise important part mental health wellbeing stress management health sleep however something many people give start feel stressed overwhelmed safe spend time outside still avoid busy area group stay least two metre away others reason avoid walk run safe outdoor activity note municipality bc park park canada restricted outdoor space reduce crowd check status local park trail respect closurestheyre keeping everyone safe prefer exercise indoors also find many different exercise class online try yoga follow barre class work cardio pick new dumbbell routine keep crossfit wods comfort living room look noequipment exercise routine class dont already equipment poor sleep make even simple problem feel lot worse really poor sleep affect mood outlook patience unfortunately stress anxiety really take toll sleep youre hard time sleeping proactive practice healthy sleep habit check wellness module getting good night sleep wwwheretohelpbccawellnessmodulewellnessmodulegettingagoodnightssleep health problem like chronic illness check doctor health care team see need take additional measure precaution remember plan ahead keep prescription overthecounter medication medical supply supplement health need hand,4,267,False
use distraction manage difficult thought feeling,distraction valid tool help cope everything feel overwhelming feel lonely isolated dont lot energy focus right try loweffort distraction like watching tv browsing youtube listening podcast audiobook playing game phone reading easy book magazine working simple art project energy focus give todo list every day clean take care project around home work hobby connect family friend read new book catch favourite tv show find interesting opportunity take online course university world moocs online learning platform learn new language online apps learn new hobby activity people practice social distancing selfisolation people finding creative way bring world home tour museum art gallery skype scientist watch animal zoo nature preserve normal schedule disrupted easy fall unhelpful habit look way keep track healthier habit could set goal every day turn activity fun competition friend familywhoever take language class win many community using social medium platform like facebook organize support help neighbour healthy safe sign walk dog pick grocery household supply help others cant go moment great way make new connection area helping others good mental health sure follow good hygiene practice physical distancingyour health important,6,181,False
reframe situation find balanced perspective,think something impact feeling behaviour feel stressed angry fearful hard look situation realistically see option remember control action reaction matter whats going world call something pandemic people often overestimate negative partstheir feeling ability manage difficult situation situation itselfand underestimate positive partstheir ability care loved one support network opportunity thought never going make make feel likely doesnt feel goodand isnt even true challenging negative unhelpful thought improve mood validate ability get help see new option opportunity stay well stop notice thought come make feel thought seem realistic look situation objectively reframe thought make productive hopeful find positive aspect think new way approach situation example im mad event cancelled suck know safer option everyone rescheduled ill enjoy wont worry getting sick spreading illness hate spending much time home boring im part keep neighbour safe worth keep people healthy im hard time getting used new schedule frustrating ill get used soon like adapted last time change schedule im home ill time finish project havent touched month im excited see end result im really scared dont know feel overwhelmed right make sense feel scaredpeople getting sick dont know thing go back normal lot thing keep healthy im going research best focus thing everything feel manageable going stuck inside forever im already sick understand take time manage covid trust health care professional scientist working fast know end eventually life go back normal goal ignore bad uncomfortable part situation deny there problem instead exercise help understand situation realistically see part control right,5,246,False
challenge thinking trap,tell situation affect feel sometimes interpretation situation get distorted focus negative aspectsthis normal expected however interpret situation negatively might feel worse youre also likely respond situation way unhelpful long term automatic thought assumption sometimes called thinking trap everyone fall unbalanced thinking trap time time youre likely distort interpretation thing already feel sad angry anxious depressed stressed youre also vulnerable thinking trap youre taking good care like youre eating sleeping well common thinking trap thinking negative situation part constant cycle bad thing happen people overgeneralize often use word like always never really looking forward concert cancelled always happens never get fun thing seeing thing right wrong good bad perfect terrible people think black white term see small mistake total failure wanted eat healthier ate many snack today plan total failure saying negative thing people made mistake im stupid bos told made mistake bos total jerk predicting something bad happen without evidence ive stay home reduce risk know im going get sick focusing negative part situation ignoring anything good positive know there lot home im sick everything terrible believing bad feeling emotion reflect situation feel scared overwhelmed right must mean everything bad never get better telling must act able handle without getting upset cry helpful strategy challenge common thinking trap many people find mood confidence improve working skill also find worksheet help go step wwwheretohelpbcca dont try get thinking trap telling stop thinking way doesnt let look evidence challenge thinking trap try push upsetting thought away likely keep popping back mind ask following question something upsetting happens situation actually happened include fact everyone would agree thought telling emotion feel behaviour reacting cope take look thought youve listed using thinking trap falling distorted thinking pattern common fall one thinking trap go back thinking trap list identify one apply current situation best way break thinking trap look thought like scientist consider hard fact use evidence youve collected challenge thinking trap way try find evidence thought make mistake work might automatically think cant anything right must terrible employee thought come might challenge asking evidence support thought evidence disprove thought might quickly realize bos complimented work recently doesnt support idea youre bad employee ask would judge people thing harder people great method challenging thinking trap involve harsh selfcriticism find whether people trust agree thought example might trouble one kid think good parent wouldnt kind problem challenge thought ask parent theyve ever problem kid test belief person example think friend dont care call friend make plan start regular video call assumed say may pleasantly surprised hear want see worked challenge try think balanced thought replace old thinking trap let use following example feel sad overwhelmed im hard time figuring im worst able handle labeling statement examine evidence lot challenge right im worried family everything seems change quickly ive successfully handled complicated situation past know okay feel upset right nowtheres lot going im going think got past situation see worked im trying lot im going talk family make plan work together try healthy thinking worksheet wwwheretohelpbcca check anxiety canada article helpful thinking thinking trap page adapted wellness module healthy thinking wwwheretohelpbccawellnessmodulewellnessmodulehealthythinking,3,513,False
manage grief,lot people think grief term losing person pet grief come whenever lose something important includes losing security like losing job wondering long youll able pay rent losing stability routine like finding working home navigating childcare closure losing sense safety like fearing someone love might end covid losing social relationship like missing time family friend everyone must practice physical distancing selfisolation losing hope future like feeling life never go back normal losing important goal like finding class sport competition performance cancelled foreseeable future losing important milestone celebration like graduation ceremony wedding grief bring complicated feeling might feel sad angry frustrated fearful hopeless may hard time eating sleeping feel tense may feel overwhelmed tired may wonder life ever feel normal everyone grief way time strategy try navigate journey acknowledge express feeling healthy way give feeling name find healthy way express talking friend writing journal making art give much time need grief follows schedule give permission use time take care wellbeing let go expectation task obligation wait seek support grief feel isolating even though lot people experiencing sort loss right reach friend family share feeling look way help support take care ignoring health wellbeing make difficult experience feel worse eat well try get enough sleep spend time outside safe exercise regularly think selfcare activity strategy helped cope challenging situation past make time activity know feeling grief pas grief may feel intense time feeling become manageable time eventually pas connect mental health professional youre hard time youre hard time getting day coping unhealthy way hard time managing difficult thought feeling good idea seek help professional like psychologist counsellormany offer online phone appointment find help everyone bc psychological association find registered psychologist wwwpsychologistsbccafindpsychologist bc association clinical counsellor find registered clinical counsellor bccounsellorsorg bc mental health support line call area code learn service area talk someone right young people kid help phone talk counsellor chat kidshelpphoneca available foundry contact local foundry office foundrybcca foundy virtual information local resource youth age youth bc chat crisis line responder youthinbccom available every day noon discomfort youre feeling grief harvard business review hbrorgthatdiscomfortyourefeelingisgrief grieving canadian mental health association cmhacadocumentsgrieving coping grief loss mind mind mindyourmindcawellnesscopinggriefandloss,2,355,False
find doctor psychiatrist psychologist counsellor,find family doctor general physician visit college physician surgeon bc use find physician tool also see family doctor local walkin clinic though helpful find regular doctor ongoing care need also find psychiatrist college physician surgeon bc aware almost always need doctor referral see psychiatrist find registered psychologist bc psychological association college psychologist bc find clinical counsellor visit bc association clinical counsellor difference service provider see article right path finding way service bc finding right help navigating system issue vision journal,5,80,False
see psychiatrist,psychiatrist specialist doctor bc need ask doctor referral dont see regular family doctor ask doctor walkin clinic referral case may able selfrefer make appointment mental health program may get access psychiatrist contact local mental health centre see whats available area search mental health centre wwwgovbccamentalhealth need help finding local mental health centre call healthlinkbc visit wwwhealthlinkbcca use find health service tool,2,61,False
see psychologist,find registered psychologist visit bc psychological association make appointment dont need doctor referral see psychologist registered psychologist usually covered msp youll pay cost appointment workplace extended health benefit employee family assistance program may cover cost psychologist offer sliding scale based income youre facing financial hardship ask make appointment want learn lowercost option access counselling though usually registered psychologist email u location information referral team see option may community see registered psychologist public mental health centre like mental health team outpatient psychiatry program still covered msp talk care provider question want learn,2,91,False
see counsellor,find directory counsellor professional organization registered clinical counsellor visit bc association clinical counsellor canadian certified counsellor visit canadian counselling psychotherapy association canadian professional counsellor visit canadian professional counsellor association specialized counselling professional marriage family therapist see federation association counselling therapist british columbia make appointment dont need doctor referral see counsellor counsellor usually covered msp youll pay cost appointment workplace extended health benefit employee family assistance program private health insurance plan may help cover cost counsellor may offer sliding scale based income youre facing financial hardship ask make appointment learn lowercost option access counselling email u location information referral team see option may community see counsellor public mental health centre like mental health team outpatient psychiatry program still covered msp talk care provider question want learn indigenous community member access counselling service locally first nation health authority contact local band local friendship centre contact first nation health authority,2,147,False
find support group,support group way people common experience help learn support group people experience mental illness support group people specific diagnosis support group family member friend support group offered community organization mental health service provider school campus support agency general resource help find mental health substance use related support group bc talk mental health care provider might able make recommendation mood disorder association bc offer network peer support group around province people experience mental illness like mood disorder posttraumatic stress disorder also group family friend group dropin many canadian mental health association branch offer support service including support group local branch doesnt program recommend service community bc schizophrenia society maintains directory support group regular event family member people mental illness group related alcohol drug use call alcohol drug information referral service lower mainland group lower mainland search red book online school campus talk school counsellor campus health wellness office online support see suggestion wwwheretohelpbccadiscuss particularly useful dont group community trouble getting inperson group order benefit support group need feel safe enough share experience thought need feel comfortable supporting others helpful contact group facilitator organizer ahead time see particular group might good fit checklist help evaluate support groupsincluding might time leave one sometimes group doesnt work thats okay feel comfortable try talking facilitator see recommend another group try,3,215,True
find child youth mental health service,find help child youth encourage child talk teacher school counsellor talk family doctor pediatrician go walkin clinic contact local child youth mental health office one walkin day use kelty mental health help finder tool find specific service provider contact institute family child youth mental health youthinresidence parentinresidence guidance information support youthinresidence parentsinresidence located around province dont one community parent youthinresidence kelty mental health resource centre help phone email visit wwwfamilysmartca information resource child youth mental health young people age visit foundrybcca see foundry centre area foundry offer easytoaccess mental health care physical health care social service support one office,6,99,False
older adult find help mental health concern,mental health concern serious concern age everyone deserves help support youre concerned mental health talk family doctor go walkin clinic call mental health support line area code information service area find local mental health centre program wwwgovbccamentalhealth may need doctor referral access program find local canadian mental health association branch wwwcmhabcca ask information local service contact local senior support organization group ask advice search organization wwwbcca general information senior mental health find resource canadian coalition senior mental health wwwccsmhca find info sheet senior depression series wwwheretohelpbccafactsheetseniorsanddepressionseries concerned loved one honest concern like change youve noticed problem come give loved one chance talk perspective may different take problem different priority health care patientit probably take one conversation whenever possible aim cooperation focus finding action solution everyone agree remember asking help hard many u even harder people role ability change loved one isnt willing talk experience right away offer alternative like bc mental health support line area code needed senior distress line local senior support organization search organization wwwbcca seek support manage expectation wellbeing stressful see loved one experience health problem adult care arent risk harm free make choicesand includes refusing help,7,190,False
find selfhelp material depression,selfhelp resource substitute diagnosis treatment concern low mood best talk doctor first rule physical cause symptom however youve checked doctor selfhelp material great way learn depression practice different skill pace treatment session resource check antidepressant skill workbook created two bc psychologist youll learn depression learn practice different skill help improve mood learn healthy change part life impact mood also similar workbook specific group dealing depression antidepressant skill teen workbook people experience problem depression work called antidepressant skill work dealing mood problem workplace workbook expecting new mom called managing depression selfhelp skill resource woman living depression pregnancy delivery beyond workbook people experience health problem called positive coping health condition selfcare workbook heretohelp site managing depression series offer three info sheet dealing diagnosis depression working doctor depression preventing relapse depression series help active partner health care build healthy coping skill selfmanagement strategy often depression affect concentration motivation work selfhelp material youd like selfhelp material bit extra support person bounce back reclaim health guided selfhelp program british columbians experience mild moderate depression low mood stress anxiety get dvd tip help recognize manage symptom depression learn indepth skill series workbook complete home also work trained coach canadian mental health association offer support advice telephone video conference bounce back free doctor referral information visit wwwbouncebackbcca want access bounce back material without coach referral online bc wwwbouncebackonlineca mood disorder association bc number video mental health seeking help topic kelty mental health resource centre also maintains comprehensive list website toolkits book resource young people family head guy offer tip strategy healthy living strategy men experience depression bc reproductive mental health program bc mental health substance use service selfmanagement guide woman experience postpartum depression called coping depression pregnancy following birth also guide aboriginal woman family called celebrating circle life coming back balance harmony follow resource based outside bc offer lot good information moodgym training program webbased selfhelp course people experience depression based australia available free anyone moodjuice uk initiative offer selfhelp workbook including one depression many book workbook available help people experience depression talk mental health care team recommendation find many local bookstore special bookstore specializing mental health like odin book vancouver also order online within british columbia may also borrow book free family support resource centre bc childrens womens hospital many selfhelp reference material depression woman partner parent child youth,4,383,True
find selfhelp material anxiety,selfhelp resource substitute diagnosis treatment concern low mood best talk doctor first rule physical cause symptom however youve checked doctor selfhelp material great way learn anxiety practice different skill pace treatment session resource check anxiety canada selfhelp resource toolkits worksheet video anxiety anxiety disorder child parent teen adult expecting new mom wwwanxietycanadacom mindshift app teach skill help user manage anxiety relax live well although designed teen young adult adult also benefit kelty mental health resource centre list recommended website toolkits book resource child teen bc reproductive mental health program bc mental health substance use service selfmanagement guide woman experience anxiety birth called coping anxiety pregnancy following birth moodjuice uk program offer selfhelp information number mental health concern including anxiety selfhelp guide youd like help specific anxiety disorder visit wwwmoodjuicescotnhsuk search guide many book workbook available help people experience anxiety problem talk mental health talk mental health care team recommendation bookstore specialize mental health wellbeing material odin book vancouver within british columbia may also borrow book free family support resource centre bc childrens womens hospital many selfhelp reference material depression woman partner parent child youth youd like selfhelp material bit extra support person bounce back reclaim health guided selfhelp program british columbians experience mild moderate low mood anxiety get dvd tip help recognize manage symptom anxiety learn indepth skill series workbook complete home work trained coach canadian mental health association offer support advice telephone video conference bounce back free doctor referral information visit wwwbouncebackbcca want access bounce back material without coach referral online bc wwwbouncebackonlineca,4,254,True
im hard time coping physical health problem find help,physical health big impact mental health resource help cope emotional challenge living chronic health problem selfmanagement bc offer free program adult age experiencing ongoing physical mental health issue find information strategy help manage symptom take action toward best life possible family member friend loved one welcome attend program available language english including chinese punjabi website learn selfmanagement research find workshop telephonebased support program visit wwwselfmanagementbcca call tollfree group bc psychologist doctor created selfguided workbook called positive coping health condition anyone dealing health problem anyone support loved one experience health problem workbook discusses link physical health mental health teach different skill help manage problem difficult feeling well get active work healthy relationship bounce back reclaim health guided selfhelp program british columbians experience mild moderate depression low mood anxiety get dvd tip help recognize manage symptom depression learn indepth skill series workbook complete home one workbook reclaim health focused living chronic health condition work trained coach canadian mental health association offer support advice telephone video conference bounce back free doctor referral information visit wwwbouncebackbcca want access bounce back material without coach referral online bc wwwbouncebackonlineca reclaim life illness disability pain fatigue booklet canadian mental health association offer practical tip strategy help cope problem get back usual routine booklet available purchase wwwlivinglifetothefullca part program called living life full eightweek program help people make helpful change life offered throughout province find course listing website well many organization support people experience particular illness health problem organization often help people find appropriate support service may even offer support group also ask health care team recommendation cant find support person see support group online youre hard time coping feel need oneonone support therapist counsellor great option find information finding professional wwwheretohelpbccaaskushowcanifindadoctorpsychiatristpsychologistorcounsellor,9,284,False
substance use problem go help,person different relationship substance like alcohol drug people use substance different reason whats beneficial may cause problem others person different situation learn substance use check understanding substance use health promotion perspective supporting someone else useful resource helping people use substance health promotion perspective help think relationship substance substance use stuff think aboutand way make change great workbook another series making healthier choice substance use tip cutting back quitting lot useful tip resource want change way use alcohol marijuana medication methamphetamine tobacco someone care need help contact alcohol drug information referral service find support area get help anywhere bc call greater vancouver call learn substance use visit centre addiction research bc,5,110,False
find free lowcost counselling,mental health service like counselling therapy may covered bc medical service plan msp access service hospital mental health clinic find local health authority learn counselling service area healthlink bcs find service tool locator app also help find service often need doctor referral access type program without doctor referral need access care private system funded government private mental health service expensive real barrier finding good care simple answer several different place look health benefit work ask coverage plan cover certain number private counselling therapy session addition workplace employeefamily assistance plan may offer service may refer community service psychologist clinical counsellor service provider may offer sliding scale mean cost based income try contacting service provider directly ask offer sliding scale one private clinic vancouver good list lowercost counselling option vancouver area outside lower mainland still look list see similar organization might community contact mental health organization like anxiety canada canadian mental health association bc schizophrenia society institute family child youth mental health mood disorder association bc jessies legacy may offer service area may local connection refer also email u well try give recommendation community,4,182,False
get help paying prescription medication,bc pharmacare cover cost medication plan g psychiatric medication plan people need medication well cannot afford doctor nurse practitioner must apply coverage behalf coverage usually last one year reapply needed talk care team youre interested plan g,5,37,True
